block,lot,qualifier,prop_class,prop_loc,net_value,land_val,impr_val,last_sale,deed_date,yr_built
269.01,26,,4C,321 47TH ST,1386000,360000,1026000,209860,2011-05-27,0
269.02,1,,2,4600 NEW YORK AVE,540000,258500,281500,1,1992-05-19,1898
269.02,2,,2,4604 NEW YORK AVE,673200,258500,414700,585000,2019-08-05,1700
269.02,3,,2,250 46TH ST,652400,271200,381200,376000,2016-08-25,1700
269.02,4,,2,248 46TH ST,774100,271200,502900,410000,2019-03-05,1913
269.02,5,,2,246 46TH ST,615500,271200,344300,1,2017-03-01,1913
269.02,6,,2,244 46TH ST,620200,271200,349000,1,2014-07-25,1913
269.02,7,,2,242 46TH ST,673000,301400,371600,1,2012-05-18,1913
269.02,8,,2,240 46TH ST,717500,271200,446300,1,2024-02-01,1913
269.02,14,,4C,315 47TH ST,1338800,480000,858800,875000,2009-08-18,0
269.02,15,,2,311 47TH ST,754200,301400,452800,212500,2019-04-12,1908
269.02,16,,2,309 47TH ST,747000,313400,433600,1,2015-05-15,1908
269.02,17,,2,307 47TH ST,767200,301400,465800,360000,2021-03-31,1908
269.02,18,,2,305 47TH ST,668400,301400,367000,0,,1908
269.03,3,,2,251 46TH ST,714900,313700,401200,0,,1923
269.03,4,,2,249 46TH ST,668000,313700,354300,215000,2001-11-28,1923
269.03,5,,2,247 46TH ST,736100,313700,422400,1,1993-04-22,1923
269.03,6,,2,245 46TH ST,650000,282300,367700,770000,2024-12-20,1923
269.03,7,,2,243 46TH ST,746400,282300,464100,1,2023-05-30,1923
269.03,8,,2,241 46TH ST,644600,313700,330900,1,1999-02-02,1923
269.03,9,,2,239 46TH ST,605300,282300,323000,380000,2014-02-21,1923
39.02,4,,4A,907 NEW YORK AVE,359700,218400,141300,160000,1993-05-27,1920
46,9,,2,619 11TH ST,753500,307500,446000,458350,2005-06-01,1917
46,10,,2,617 11TH ST,797700,307500,490200,10,2000-06-06,1917
46,11,,2,615 11TH ST,893300,307500,585800,1,2018-08-02,1927
46,12,,2,613 11TH ST,705200,258300,446900,1,2021-08-12,1917
46,13,,2,611 11TH ST,352500,307500,45000,285000,2020-10-30,1903
46,14,,2,609 11TH ST,572400,307500,264900,269000,2004-01-13,1917
46,15,,2,607 11TH ST,650300,307500,342800,1,2015-04-20,1907
46,16,,2,605 11TH ST,654900,276800,378100,1,2024-05-08,1907
46,17,,2,603 11TH ST,876300,276800,599500,1,2017-12-14,1917
46,18,,4A,1015 WEST ST,913600,403000,510600,355000,2011-03-21,1910
