address,lat,lon,display_name,status
3726 PARK AVE,40.7723039,-74.0216781,"3726, Park Avenue, Weehawken, Hudson County, New Jersey, 07086, United States",ok
385 PARK AVE,40.7662651,-74.0239659,"385, Park Avenue, Lincoln Harbor, Weehawken, Hudson County, New Jersey, 07086, United States",ok
39 OXFORD LANDING,40.7684794,-74.0161708,"39, Oxford Landing, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
40 WEST 19TH ST,40.7599096,-74.0313893,"West 19th Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
4110 PARK AVE,40.7747368,-74.0203683,"4110, Park Avenue, Weehawken, Hudson County, New Jersey, 07086, United States",ok
412 GREGORY AVE,40.7624596,-74.0278866,"412, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
414 GREGORY AVE,40.7624664,-74.0278834,"414, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
47 47TH ST,40.7776963,-74.0151981,"47, 47th Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
5 GRAND ST,40.7588754,-74.0304259,"5, Grand Street, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
515 GREGORY AVE,40.7655031,-74.0259007,"515, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
518 GREGORY AVE,40.7658094,-74.0254022,"518, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
518-530 GREGORY AVE,40.7655848,-74.0261203,"Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
518-536 GREGORY AVE,,,,not_found
52 ETON ROW,40.7674881,-74.0171798,"Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
520 HUDSON AVE,40.7673566,-74.0272238,"520, Hudson Avenue, Weehawken, Hudson County, New Jersey, 07086, United States",ok
522 GREGORY AVE,40.7655615,-74.0259812,"522, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
53 ETON ROW,40.7674671,-74.017338,"53, Eton Row, Henley On Hudson, Weehawken, Hudson County, New Jersey, 07086, United States",ok
530 GREGORY AVE,40.7656932,-74.025874,"530, Gregory Avenue, The Shades, Weehawken, Hudson County, New Jersey, 07086, United States",ok
54 47TH ST,40.7779204,-74.0152677,"54, 47th Street, Weehawken, Hudson County, New Jersey, 07086, United States",ok
