"Picture Count","MLS #","Class","Type","Area","Price","Address","City","State","Zip","Status","Expiration Date","Tour/Open House - Start Date","Tour/Open House - Start Time","Tour/Open House - End Time","Tour/Open House - Event Type"
"49","260005337","CONDO-COOP","Condominium","JC, Heights","$939,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/11/2026","10:00 AM EDT","12:00 PM EDT","Open House"
"23","260005804","CONDO-COOP","Condominium","JC, Heights","$949,900","206 SHERMAN AVE","JC, Heights","NJ","07307","ACTIVE","9/6/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"37","260005339","CONDO-COOP","Condominium","JC, Heights","$984,000","547 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"37","260005339","CONDO-COOP","Condominium","JC, Heights","$984,000","547 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/11/2026","10:00 AM EDT","12:00 PM EDT","Open House"
"21","260005204","CONDO-COOP","Condominium","JC, Heights","$995,000","373 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/25/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"21","260005204","CONDO-COOP","Condominium","JC, Heights","$995,000","373 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/25/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"28","260003108","CONDO-COOP","Condominium","JC, Heights","$999,000","100 WEBSTER AVE","JC, Heights","NJ","07307","ACTIVE","5/31/2026","4/12/2026","11:00 AM EDT","1:00 PM EDT","Open House"
"16","260005568","CONDO-COOP","Condominium","Hoboken","$999,000","1125 MAXWELL LANE","Hoboken","NJ","07030","ACTIVE","6/30/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"16","260006060","CONDO-COOP","Condominium","Hoboken","$999,500","1125 MAXWELL LANE","Hoboken","NJ","07030","ACTIVE","8/31/2026","4/11/2026","1:00 PM EDT","3:00 PM EDT","Open House"
"40","260005336","CONDO-COOP","Condominium","JC, Heights","$1,019,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"40","260005336","CONDO-COOP","Condominium","JC, Heights","$1,019,000","545 PALISADE AVE","JC, Heights","NJ","07307","ACTIVE","9/26/2026","4/11/2026","10:00 AM EDT","12:00 PM EDT","Open House"
"25","260005206","CONDO-COOP","Condominium","JC, Heights","$1,025,000","373 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/25/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"25","260005206","CONDO-COOP","Condominium","JC, Heights","$1,025,000","373 NEW YORK AVE","JC, Heights","NJ","07307","ACTIVE","8/25/2026","4/12/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"20","260006348","CONDO-COOP","Condominium","Hoboken","$1,080,000","1021 GRAND ST","Hoboken","NJ","07030","ACTIVE","10/7/2026","4/11/2026","12:00 PM EDT","2:30 PM EDT","Open House"
"27","260003115","CONDO-COOP","Condominium","JC, Heights","$1,080,000","105 LAIDLAW AVE","JC, Heights","NJ","07306","ACTIVE","5/31/2026","4/12/2026","11:00 AM EDT","2:00 PM EDT","Open House"
"20","260006348","CONDO-COOP","Condominium","Hoboken","$1,080,000","1021 GRAND ST","Hoboken","NJ","07030","ACTIVE","10/7/2026","4/12/2026","12:00 PM EDT","3:00 PM EDT","Open House"
"38","260004952","CONDO-COOP","Condominium","JC, Heights","$1,095,000","433 CENTRAL AVE","JC, Heights","NJ","07307","ACTIVE","6/30/2026","4/11/2026","12:00 PM EDT","2:00 PM EDT","Open House"
"26","260004674","CONDO-COOP","Condominium","JC, Heights","$1,100,000","33 GRAHAM ST","JC, Heights","NJ","07307","ACTIVE","9/17/2026","4/12/2026","1:00 PM EDT","3:00 PM EDT","Open House"
